"specification","flipped_village","original_domlow","households_reclassified","n","villages","estimate","standard_error","lower","upper","p_value"
"buyer_interaction",93,1,15,1295,90,820.29762864027,266.353752793025,291.058395306969,1349.53686197357,0.00275571339893673
"buyer_interaction",94,1,15,1295,90,837.94365796241,266.724632522972,307.967494505624,1367.9198214192,0.00228176734019052
"buyer_interaction",95,1,15,1295,90,803.837667145143,273.205258012526,260.984638881136,1346.69069540915,0.00415377189559178
"buyer_interaction",97,1,15,1295,90,847.795551364933,268.00365809346,315.277991343463,1380.3131113864,0.00213393826351126
"buyer_interaction",98,1,12,1295,90,876.10921361771,275.775132547721,328.149899391867,1424.06852784355,0.00204664154617377
"buyer_interaction",99,0,10,1295,90,812.122746065693,274.580879450681,266.536387305487,1357.7091048259,0.00396925297028664
"buyer_interaction",100,1,14,1295,90,846.722177134181,273.640432404614,303.004466622524,1390.43988764584,0.00263662198868279
"buyer_interaction",101,0,6,1295,90,836.643269818282,276.372816102471,287.496371100105,1385.79016853646,0.00322797255931087
"buyer_interaction",102,1,11,1295,90,777.862944526277,281.145150798563,219.233518420052,1336.4923706325,0.00688522096933171
"buyer_interaction",103,0,25,1295,90,833.828102328448,275.835989479083,285.747866676272,1381.90833798062,0.00326994097810789
"buyer_interaction",104,0,24,1295,90,846.627922215275,278.640626073796,292.974933389548,1400.280911041,0.00312138671593994
"buyer_interaction",105,1,32,1295,90,858.76625921384,269.620834996653,323.035403132392,1394.49711529529,0.00199539773455282
"buyer_interaction",106,0,23,1295,90,840.573361100452,278.779200101801,286.645028632774,1394.50169356813,0.00334628784956143
"buyer_interaction",107,0,26,1295,90,861.507030392861,276.325477106009,312.45419325231,1410.55986753341,0.00245488789784338
"buyer_interaction",108,0,22,1295,90,874.94805505874,279.402731250521,319.780779480075,1430.1153306374,0.00235363514929412
"buyer_interaction",109,1,27,1295,90,861.425182569602,289.516614152912,286.161837094588,1436.68852804462,0.00376685452063699
"buyer_interaction",111,0,26,1295,90,814.853189595287,272.460382734912,273.480212641688,1356.22616654889,0.00359939487086321
"buyer_interaction",112,0,21,1295,90,732.430253409881,260.743318031682,214.338834442337,1250.52167237742,0.00610824208107333
"buyer_interaction",113,1,28,1295,90,514.926963617189,299.276366542337,-79.7288019680688,1109.58272920245,0.0888033250296746
"buyer_interaction",114,1,27,1295,90,861.205960477345,277.66714295261,309.487261877743,1412.92465907695,0.0025788048094096
"buyer_interaction",119,0,27,1295,90,848.138092225284,282.131865268759,287.548085484284,1408.72809896628,0.00343757371845985
"buyer_interaction",120,0,22,1295,90,767.074115092864,277.362051083061,215.961627539449,1318.18660264628,0.00690778766833419
"buyer_interaction",122,0,8,1295,90,838.39494523797,275.638016161011,290.708078351872,1386.08181212407,0.00309125034982654
"buyer_interaction",123,1,15,1295,90,894.483907964237,272.84087021599,352.354910490306,1436.61290543817,0.00149026603801665
"buyer_interaction",134,1,14,1295,90,788.85853574719,281.30798160692,229.905568293136,1347.81150320124,0.00619153212087164
"buyer_village_gap",NA,NA,0,1295,90,762.955317864504,310.261526976377,146.472272486149,1379.43836324286,0.0158642044700499
"buyer_village_gap",2,0,7,1295,90,754.895464498352,308.458867651307,141.994264801377,1367.79666419533,0.0163566226637271
"buyer_village_gap",3,0,2,1295,90,751.664121014935,309.41929517623,136.85457228352,1366.47366974635,0.017138653234188
"buyer_village_gap",5,0,9,1295,90,734.848161490728,309.074795200248,120.72312687357,1348.97319610789,0.0195677860809204
"buyer_village_gap",6,0,9,1295,90,770.601590229365,312.892834709479,148.89019243349,1392.31298802524,0.0157096662596848
"buyer_village_gap",8,1,15,1295,90,714.970975464932,313.414962628651,92.2221206152459,1337.71983031462,0.0249213798048852
"buyer_village_gap",9,0,7,1295,90,764.493231858087,311.662752190049,145.225981826955,1383.76048188922,0.0161188753582725
"buyer_village_gap",10,1,14,1295,90,763.849591562926,308.665921758738,150.536979764841,1377.16220336101,0.0152310224805353
"buyer_village_gap",11,0,7,1295,90,741.361337266003,304.559261570899,136.208571787266,1346.51410274474,0.0169213876199641
"buyer_village_gap",12,0,10,1295,90,748.247191823992,301.815780964909,148.545663871864,1347.94871977612,0.0150538612474811
"buyer_village_gap",15,0,7,1295,90,742.370100539126,302.391532819483,141.52456591576,1343.21563516249,0.0160333484048907
"buyer_village_gap",17,0,12,1295,90,774.082668745961,314.537679772957,149.102998844969,1399.06233864695,0.0157840146247741
"buyer_village_gap",18,1,12,1295,90,728.916027558986,310.765474194265,111.431649793013,1346.40040532496,0.021221558094264
"buyer_village_gap",20,1,9,1295,90,785.826722133988,308.401235303631,173.040036684249,1398.61340758373,0.0125473291091558
"buyer_village_gap",22,0,5,1295,90,750.220323411679,314.011651433272,126.285860616977,1374.15478620638,0.0189988484532925
"buyer_village_gap",23,1,15,1295,90,720.916784279984,309.767452903428,105.415453560557,1336.41811499941,0.0222193266402681
"buyer_village_gap",24,0,7,1295,90,746.391485601779,314.025773075952,122.42896340387,1370.35400779969,0.019603973913671
"buyer_village_gap",25,1,13,1295,90,654.471512866111,314.976210732781,28.6204912888733,1280.32253444335,0.0406041515368803
"buyer_village_gap",26,0,14,1295,90,701.52759215204,303.768813234203,97.9454306813767,1305.1097536227,0.0232354198049778
"buyer_village_gap",27,0,11,1295,90,723.694308875043,301.974644186267,123.677123085944,1323.71149466414,0.0186432331101523
"buyer_village_gap",29,0,11,1295,90,834.918756870978,300.860336410654,237.115676896715,1432.72183684524,0.00672505662203661
"buyer_village_gap",30,0,11,1295,90,709.763855177489,303.467078087886,106.78123501545,1312.74647533953,0.0215828627592698
"buyer_village_gap",33,0,4,1295,90,762.904942606656,310.174583160149,146.594652739201,1379.21523247411,0.0158424532782564
"buyer_village_gap",37,1,15,1295,90,871.804395707257,310.149461744891,255.544021556821,1488.06476985769,0.00607511577145521
"buyer_village_gap",39,0,11,1295,90,802.499596695601,312.628112440941,181.314196408596,1423.68499698261,0.0119295909328117
"buyer_village_gap",41,1,14,1295,90,745.445763426333,301.81257511352,145.75060543263,1345.14092142004,0.0154226531272928
"buyer_village_gap",42,1,10,1295,90,750.890288539301,302.384596255635,150.058536720549,1351.72204035805,0.0148939219973803
"buyer_village_gap",45,1,15,1295,90,728.326984794805,301.511429209039,129.230197298748,1327.42377229086,0.0177540689354855
"buyer_village_gap",46,0,21,1295,90,758.000233666399,318.85100880687,124.45007085106,1391.55039648174,0.0195820977990328
"buyer_village_gap",47,1,30,1295,90,688.367960622804,310.198713849642,72.0097235893205,1304.72619765629,0.029021349790512
"buyer_village_gap",48,1,30,1295,90,741.66661269076,310.123951254241,125.456927341858,1357.87629803966,0.0188842440791319
"buyer_village_gap",49,1,24,1295,90,740.047268728049,322.839879134573,98.5713055364711,1381.52323191963,0.024246369698843
"buyer_village_gap",51,0,20,1295,90,775.718124423777,323.25481103611,133.417700382099,1418.01854846546,0.0184925041147143
"buyer_village_gap",52,1,30,1295,90,772.439538850963,294.025243809573,188.2176422842,1356.66143541773,0.0101395061451131
"buyer_village_gap",54,1,30,1295,90,699.677872866438,301.746335118172,100.114332332546,1299.24141340033,0.0226988586205713
"buyer_village_gap",55,0,12,1295,90,733.35982496226,306.74640344975,123.861255157447,1342.85839476707,0.0189203493216315
"buyer_village_gap",56,0,16,1295,90,792.307111247788,304.542690145081,187.18727283917,1397.42694965641,0.0108658414756272
"buyer_village_gap",58,1,12,1295,90,763.433756375088,305.470672388205,156.470037015863,1370.39747573431,0.0142818283650712
"buyer_village_gap",59,1,14,1295,90,734.863589898795,306.40829149573,126.036841344667,1343.69033845292,0.0185587282265251
"buyer_village_gap",60,1,15,1295,90,723.844944805305,308.869567220987,110.12769381148,1337.56219579913,0.0213299489378812
"buyer_village_gap",61,1,14,1295,90,761.604043157433,304.084392456934,157.394832493197,1365.81325382167,0.0140809658471067
"buyer_village_gap",62,0,9,1295,90,752.05972667327,312.395382000846,131.336756813461,1372.78269653308,0.0181316499996231
"buyer_village_gap",65,0,10,1295,90,765.927879634788,310.390719842015,149.188130784282,1382.66762848529,0.0155143824544702
"buyer_village_gap",68,1,14,1295,90,740.241096309467,337.602471859071,69.432175824824,1411.05001679411,0.0309415582489131
"buyer_village_gap",69,1,12,1295,90,899.710925862144,315.209634166055,273.396096895025,1526.02575482926,0.00536464878951741
"buyer_village_gap",70,1,14,1295,90,378.180093456701,368.495586282368,-354.012787348443,1110.37297426185,0.307540328363807
"buyer_village_gap",71,0,3,1295,90,737.459532359359,310.866649816555,119.774120786987,1355.14494393173,0.0198335380273273
"buyer_village_gap",72,0,13,1295,90,495.93434294989,266.391370077987,-33.3796351273653,1025.24832102715,0.065949273842675
"buyer_village_gap",73,0,12,1295,90,783.162659166089,306.622755892503,173.909774423772,1392.41554390841,0.012344964595161
"buyer_village_gap",74,1,12,1295,90,839.469433015901,315.140140061227,213.292687354817,1465.64617867698,0.00917142992329402
"buyer_village_gap",75,0,10,1295,90,809.556837846552,304.120762909388,205.275359867998,1413.83831582511,0.00921789142306582
"buyer_village_gap",77,0,9,1295,90,727.537783602947,307.039700755127,117.456438299727,1337.61912890617,0.0199723841045094
"buyer_village_gap",78,0,4,1295,90,742.529973179549,307.381572495008,131.769336011222,1353.29061034788,0.0177506295683914
"buyer_village_gap",79,0,11,1295,90,802.628223749149,294.636537927001,217.191698791923,1388.06474870637,0.00776004595862555
"buyer_village_gap",80,0,12,1295,90,711.935802881705,300.072364214894,115.69840687622,1308.17319888719,0.0198195628212282
"buyer_village_gap",81,0,12,1295,90,713.007721802715,302.85834385854,111.234643588046,1314.78080001738,0.0207598551264462
"buyer_village_gap",82,0,15,1295,90,688.421470549174,301.844522714239,88.6628333533404,1288.18010774501,0.0249530085659734
"buyer_village_gap",83,1,15,1295,90,841.419951357632,304.699638855713,235.988259204074,1446.85164351119,0.00698869628369905
"buyer_village_gap",84,1,15,1295,90,365.805809023629,413.43545546665,-455.681634609283,1187.29325265654,0.378651127593783
"buyer_village_gap",85,1,13,1295,90,856.749510847229,304.139735266555,252.430335199104,1461.06868649535,0.00597129450309284
"buyer_village_gap",86,1,14,1295,90,745.423798345982,304.339071411035,140.708546024734,1350.13905066723,0.0162716249093437
"buyer_village_gap",87,0,1,1295,90,759.90403339605,310.898170191061,142.155991510932,1377.65207528117,0.0164883388800152
"buyer_village_gap",88,0,10,1295,90,706.232147855847,310.579018434238,89.1182537134471,1323.34604199825,0.0253756838748933
"buyer_village_gap",89,1,13,1295,90,879.957327932069,317.980840462012,248.136171082946,1511.77848478119,0.00687432083944864
"buyer_village_gap",91,1,11,1295,90,549.220529181091,335.039559469762,-116.495938977294,1214.93699733948,0.104687210137739
"buyer_village_gap",92,0,7,1295,90,773.526212796442,307.509501777943,162.51138286788,1384.541042725,0.0136824636684859
"buyer_village_gap",93,1,15,1295,90,700.579822749438,296.187536694626,112.061496277982,1289.0981492209,0.0201863183420755
"buyer_village_gap",94,1,15,1295,90,718.851602925502,293.422014681103,135.828309787932,1301.87489606307,0.0162475668858337
"buyer_village_gap",95,1,15,1295,90,667.791747343991,304.611839781187,62.5345100813516,1273.04898460663,0.0309691641600062
"buyer_village_gap",97,1,15,1295,90,741.856185816198,291.341766127281,162.96630224475,1320.74606938765,0.0126051017205128
"buyer_village_gap",98,1,12,1295,90,782.607749133683,308.826793047713,168.975489511043,1396.24000875632,0.0130215590295907
"buyer_village_gap",99,0,10,1295,90,753.910156901906,314.648334635898,128.710618145252,1379.10969565856,0.0186670740749069
"buyer_village_gap",100,1,14,1295,90,775.433567277992,307.396165931484,164.643933262235,1386.22320129375,0.0134266031594787
"buyer_village_gap",101,0,6,1295,90,741.131024858959,314.589769396858,116.04785398481,1366.21419573311,0.0206758425909659
"buyer_village_gap",102,1,11,1295,90,679.937183939203,313.917107191057,56.1905785399432,1303.68378933846,0.0329864360166824
"buyer_village_gap",103,0,25,1295,90,770.14785636935,306.848228098747,160.446963155895,1379.8487495828,0.0138860088306827
"buyer_village_gap",104,0,24,1295,90,783.508732101854,301.29016324499,184.851595363288,1382.16586884042,0.0108987161824062
"buyer_village_gap",105,1,32,1295,90,890.343357399685,321.832318546914,250.869395634247,1529.81731916512,0.00689074178975746
"buyer_village_gap",106,0,23,1295,90,795.791734499175,303.052179827302,193.633508343377,1397.94996065497,0.0101725950041847
"buyer_village_gap",107,0,26,1295,90,740.205651033871,306.775502644173,130.649261749566,1349.76204031818,0.0178790992318105
"buyer_village_gap",108,0,22,1295,90,769.878345212271,302.574169633897,168.669915128918,1371.08677529562,0.0126696023099887
"buyer_village_gap",109,1,27,1295,90,802.613474650849,340.319293217363,126.406287996916,1478.82066130478,0.0205429638322496
"buyer_village_gap",111,0,26,1295,90,721.932728818343,296.151220005235,133.486562835142,1310.37889480154,0.0167685846355698
"buyer_village_gap",112,0,21,1295,90,641.717651277218,293.071387072103,59.3910477301881,1224.04425482425,0.0311668708080575
"buyer_village_gap",113,1,28,1295,90,301.589852090556,352.453714329377,-398.728170843788,1001.9078750249,0.394469093382608
"buyer_village_gap",114,1,27,1295,90,824.238391275073,333.335697999152,161.9074595657,1486.56932298445,0.0153101899939248
"buyer_village_gap",119,0,27,1295,90,726.78551583468,312.211577881039,106.427760845809,1347.14327082355,0.0221871116194483
"buyer_village_gap",120,0,22,1295,90,701.261145498117,308.10393895283,89.0651815648614,1313.45710943137,0.0252423300182254
"buyer_village_gap",122,0,8,1295,90,733.340904578705,308.695327772596,119.969863657446,1346.71194549996,0.019665616199353
"buyer_village_gap",123,1,15,1295,90,746.720649983432,315.586684003762,119.656631020137,1373.78466894673,0.0201449002442759
"buyer_village_gap",134,1,14,1295,90,735.484597831336,311.053370666198,117.428175907968,1353.5410197547,0.0202287831654818
